# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.261290044041961877e+00 1.071598374289188138e+00 7.223412435007260657e-02 2.459641545458000153e+06
-7.260877739106139650e+00 1.304764080608549870e+00 6.776295588142444704e-02 2.455625545702000149e+06
-7.260863993115548531e+00 1.017674797971934719e+00 5.201497239278259077e-02 2.455627045454999898e+06
-7.260856069501222088e+00 9.248036883803903985e-01 4.752031946631361803e-02 2.455626545121000148e+06
-7.260638531107391991e+00 1.035108407804784747e+00 8.484290343797998291e-02 2.455257543510000221e+06
-7.260214209810733621e+00 9.200593474004623573e-01 7.104327804188136086e-02 2.459278045981000178e+06
-7.260159841785378987e+00 9.306094345946457347e-01 7.148674729078531576e-02 2.459277545888000168e+06
-7.260043845804434071e+00 1.375953696948066796e+00 7.088938758005304541e-02 2.455626045861999970e+06
-7.259728273382706654e+00 1.011757719006482814e+00 8.806301496689646069e-02 2.455264794939000160e+06
-7.259682076762831393e+00 9.537191381648281174e-01 8.857932822207832679e-02 2.458917043798999861e+06
