# t_obs[JD] flux_mean[DN/s] flux_stdev[DN/s]
2452370.608365 837.509140 26.854186
2452377.591699 839.089770 3.523061
2452377.608365 839.162404 17.480982
2452384.591699 838.925954 3.542698
2452384.608364 838.956567 4.790281
2452391.591698 838.573050 4.811796
2452391.608364 838.563383 8.167883
2452398.591608 838.498300 6.980462
2452398.607907 838.420410 4.074140
2452405.591185 838.317252 3.510263
2452405.607900 838.317201 3.445589
2452412.591688 838.181484 3.090490
2452412.608352 838.322189 38.771281
2452419.591196 838.182218 7.516735
2452419.607873 838.205419 6.155752
2452433.591630 838.035953 4.176543
2452433.608296 838.050857 6.441642
2452440.565838 837.876708 3.049567
2452440.569678 837.957089 3.718703
2452440.573527 837.635390 29.584595
2452440.578502 839.549887 41.824117
2452440.636465 838.264080 3.094938
2452444.055518 930.937450 54.463365
2452444.058990 899.362083 14.833827
2452444.062462 884.199306 9.492890
2452444.072881 936.296158 92.296922
2452444.083296 886.330372 47.981006
2452444.093714 868.993427 34.813754
2452444.104129 861.279568 30.448168
2452444.124963 855.011745 93.877750
2452444.145797 851.014618 48.842185
2452444.166629 848.858318 23.615619
2452444.187462 847.454071 13.369691
2452444.358202 838.116059 3.176966
2452444.362040 838.166042 3.745592
2452444.365891 838.646214 28.286060
2452444.370869 839.639660 56.916416
2452447.591629 837.947992 3.964195
2452447.608296 837.927386 3.871404
2452454.591629 838.168348 3.850868
2452454.608297 838.161887 3.944299
2452461.591631 837.579041 8.905575
2452461.608296 837.775166 4.098647
2452468.591629 837.923399 3.396498
2452468.608297 837.920383 6.686410
2452475.591629 837.161981 26.358309
2452475.608296 837.926964 3.623616
2452482.591629 837.903696 3.986390
2452482.608296 802.675158 168.096959
2452489.591629 837.842160 4.012712
2452489.608296 837.861650 3.368316
2452496.591630 838.024738 3.417241
2452496.608296 838.011839 4.824059
2452503.591629 838.164448 3.782194
2452503.608296 837.352509 26.914891
2452506.529448 837.628932 35.353802
2452506.533540 839.220067 3.121164
2452506.537389 839.619451 10.649475
2452506.542355 840.602180 49.840303
2452510.591630 840.912741 46.568472
2452510.608296 840.771046 42.311869
2452517.395965 838.661993 3.366614
2452517.399808 838.792123 4.876370
2452517.403661 839.265164 24.051863
2452517.408631 840.273438 45.163159
2452517.491449 838.825443 4.120393
2452520.930518 939.457890 31.712452
2452520.933991 902.805870 16.166423
2452520.937462 886.171570 9.687005
2452520.947879 941.867405 95.913209
2452520.958296 888.730289 52.799487
2452520.968714 870.425919 49.667826
2452520.979129 862.303234 40.517547
2452520.999963 854.719738 29.008352
2452521.020796 851.371189 18.858045
2452521.041629 849.565987 38.958031
2452521.062462 848.622849 73.264256
2452521.280134 838.476268 3.794409
2452521.283975 838.517888 4.248841
2452521.287832 807.045337 163.978151
2452521.292807 839.821836 34.630978
2452524.591629 837.815023 4.559157
2452524.608297 837.800951 8.335070
2452531.591629 838.141900 6.514818
2452531.608296 838.120300 4.323166
2452538.591630 838.100760 4.342502
2452538.608296 838.108714 5.033629
2452545.591629 838.252954 5.688803
2452545.608296 838.255084 5.164602
2452552.591631 838.174286 3.279358
2452552.608297 838.149427 3.408371
2452559.591644 837.981339 8.324008
2452559.608296 837.982253 10.545591
2452566.591630 838.408061 3.476397
2452566.608296 838.433925 3.397206
2452573.591629 838.280552 4.165178
2452573.608296 838.268150 3.907870
2452580.591629 838.252429 3.048577
2452580.608296 838.248877 3.341415
2452587.591629 838.648073 3.889666
2452587.608297 838.625334 6.176010
2452593.218918 839.194583 3.415956
2452593.222752 839.275180 6.280431
2452593.226595 839.735765 9.274443
2452593.231557 840.741011 24.958143
2452593.296032 839.461706 3.801545
2452596.930519 944.240143 48.926187
2452596.933990 908.256592 17.230423
2452596.937462 891.013279 10.638856
2452596.947880 952.956299 101.438633
2452596.958296 895.835358 71.916224
2452596.968712 875.939140 53.463760
2452596.979129 867.308113 58.871116
2452596.999962 859.291027 22.432913
2452597.020796 855.431053 22.956903
2452597.041631 853.786526 81.184171
2452597.062462 851.629341 32.876771
2452597.368031 840.145684 4.276323
2452597.371785 840.262697 3.337988
2452597.375551 840.795568 23.883610
2452597.380446 841.852363 44.427270
2452608.591631 839.380825 3.512916
2452608.608296 839.398469 4.996915
2452615.591630 839.461031 3.017539
2452615.608296 839.416313 3.791669
2452622.591630 839.707047 8.165403
2452622.608297 839.691278 4.392171
2452629.591631 839.709911 12.854429
2452629.608297 839.678926 7.380467
2452636.591630 839.906100 4.865291
2452636.608297 839.898464 4.125562
2452643.591629 839.920307 3.418418
2452643.608297 839.920012 16.431975
2452650.591629 839.924493 5.748497
2452650.608296 839.867885 3.429940
2452657.591631 839.718961 4.543814
2452657.608296 839.649573 3.794670
2452671.481199 839.540564 3.560362
2452671.485021 839.612698 4.910232
2452671.488854 840.143099 16.811814
2452671.493807 883.416274 98.866013
2452671.572483 839.944543 7.005690
2452673.930518 946.956364 53.943853
2452673.933990 909.980431 20.480246
2452673.937463 892.195156 10.401471
2452673.947881 956.700230 113.180213
2452673.958315 897.492275 55.344913
2452673.968714 877.399082 76.087313
2452673.979129 868.121902 26.103042
2452673.999962 860.171852 26.658745
2452674.020796 856.475708 60.269148
2452674.041649 854.531982 89.323285
2452674.062462 852.522682 18.448323
2452674.475674 840.212452 3.535377
2452674.482548 840.212595 3.312947
2452674.486388 840.581618 10.789011
2452674.491358 841.425763 22.439647
2452678.591629 838.681149 26.659393
2452678.608296 839.591277 18.717441
2452685.591629 839.189869 12.635912
2452685.608296 839.167812 8.868617
2452692.591637 838.991346 12.405534
2452692.608321 838.980783 9.330116
2452699.590916 838.752971 3.243388
2452699.607571 838.738774 3.600628
2452706.591538 838.652399 3.254856
2452706.608204 838.676351 3.547133
2452713.591166 838.330903 3.340616
2452713.607864 838.295429 4.888654
2452720.591166 838.693031 3.066110
2452720.607832 838.703769 6.947163
2452727.591175 838.626394 3.462642
2452727.607886 838.653361 3.975626
2452734.591650 838.436820 4.907124
2452734.608317 838.427815 7.903036
2452741.591717 838.245362 7.405856
2452741.608253 838.208878 6.312038
2452748.530844 838.569939 3.092785
2452748.534644 838.595263 3.370191
2452748.538441 839.046778 13.705413
2452748.543366 839.806955 33.154351
2452748.585519 838.999519 9.499541
2452752.013907 936.438614 32.828803
2452752.017389 902.881046 15.970872
2452752.020860 886.765125 9.503883
2452752.031226 943.192528 96.244782
2452752.041612 890.039722 55.663106
2452752.052007 871.669193 58.708047
2452752.062438 863.360767 26.178096
2452752.083310 855.929508 20.751789
2452752.104186 852.319256 18.068052
2452752.124890 850.388462 33.536822
2452752.145723 849.051296 31.397279
2452752.353823 838.896211 4.008742
2452752.357605 838.871613 6.598837
2452752.361398 839.269011 22.081447
2452752.366313 840.200485 46.519473
2452755.591758 838.147913 2.949078
2452755.608324 838.139286 6.085236
2452762.591688 838.202827 6.338269
2452762.608240 838.184991 3.950869
2452769.590851 838.052399 7.798108
2452769.607510 838.043076 5.364529
2452776.591605 837.937588 5.095066
2452776.608281 837.914350 3.523084
2452783.591581 837.946970 5.453146
2452783.608281 837.988392 8.931970
2452790.591233 838.120917 3.369079
2452790.607897 838.088225 3.687235
2452797.591593 837.642971 4.313935
2452797.608283 837.636737 5.321650
2452804.591212 837.924045 17.733774
2452804.607928 837.917035 5.901603
2452814.399059 838.185082 7.896269
2452814.402898 838.258542 3.667418
2452814.406730 838.095514 35.484709
2452814.411705 840.008026 44.433717
2452815.152212 989.527771 8.207608
2452815.155494 853.036743 6.007421
2452815.162067 807.768066 7.390669
2452815.430619 837.371259 26.365059
2452824.215787 837.802977 3.302382
2452824.219639 838.008225 14.041363
2452824.223500 838.600348 7.907851
2452824.228476 839.941879 56.235133
2452832.591562 837.910661 3.597656
2452832.608373 837.874578 4.341479
2452839.591688 836.929636 26.321547
2452839.608371 837.736139 6.245834
2452846.590965 837.830163 3.910180
2452846.607487 837.891034 3.326314
2452853.591631 838.046889 4.315091
2452853.608297 838.053416 3.920624
2452860.591630 837.915883 3.123207
2452860.608296 837.907530 4.790387
2452867.591629 837.923418 4.576687
2452867.608297 837.096821 26.539081
2452874.591629 837.998225 4.686809
2452874.608310 837.954720 3.023528
2452881.591630 838.179208 14.514899
2452881.608298 838.190077 14.211115
2452888.591629 837.870895 36.404274
2452888.608296 837.756394 3.124307
2452895.591629 837.989887 4.456435
2452895.608296 838.297595 48.926682
2452908.574772 838.430554 3.752133
2452908.578626 838.513248 4.436989
2452908.582477 839.182939 42.306891
2452908.587292 840.101347 40.988848
2452908.649419 838.681157 3.247196
2452915.846336 938.707760 31.153007
2452915.849807 904.477573 16.393443
2452915.853280 888.067646 9.975639
2452915.863696 946.468128 112.024165
2452915.874113 891.793842 48.093501
2452915.884530 872.906006 31.734114
2452915.915789 856.951752 25.940612
2452915.936614 853.662304 71.902904
2452915.957446 851.233963 21.085179
2452915.978281 849.893841 32.079947
2452916.541828 837.853231 4.384425
2452916.545662 837.980424 8.971412
2452916.549528 837.744161 41.812454
2452916.554503 839.576137 31.197197
2452923.591259 838.285439 5.511301
2452923.607926 838.288795 3.676056
2452930.591656 838.664209 3.492627
2452930.608346 838.624952 3.771684
2452937.590945 838.330638 3.568294
2452937.607473 838.336164 6.390494
2452944.591547 836.514810 4.783162
2452944.608241 836.520888 9.278820
2452951.591275 836.539501 4.658681
2452951.607528 834.921290 41.600673
2452958.591647 836.864995 4.127266
2452958.608307 835.233239 37.191792
2452965.591599 834.067636 77.719721
2452965.608293 837.066138 12.378251
2452972.591648 837.287774 20.106271
2452972.608333 837.303926 4.819548
2452979.591240 836.888210 3.102708
2452979.607907 836.923985 5.549684
2452986.591524 837.189581 3.599561
2452986.608191 837.235445 5.530234
2452993.590912 837.311798 3.378919
2452993.607617 837.305771 3.005928
2452997.941386 838.688776 3.158174
2452997.945168 838.917751 4.334510
2452997.949024 839.859123 38.800734
2452997.953989 841.006436 28.650864
2453000.422943 837.450539 4.256754
2453010.930463 951.143600 36.738226
2453010.933936 911.511143 21.796051
2453010.937407 892.293720 11.591960
2453010.947824 965.963219 114.167882
2453010.958240 899.967918 67.863797
2453010.968658 877.185772 46.034655
2453010.979074 864.191177 92.846030
2453010.999909 858.706821 34.260684
2453011.021444 854.694454 47.468772
2453011.041575 852.255405 31.134852
2453011.063107 850.992729 42.882587
2453011.532791 839.687434 14.395726
2453011.536609 839.764943 3.405911
2453011.540439 840.272524 15.578672
2453011.545391 841.306533 29.509216
2453014.591574 837.808208 3.196480
2453014.608240 837.786163 3.207599
2453021.591574 837.421910 4.107866
2453021.608240 837.412973 4.293826
2453028.591574 837.200872 10.655250
2453028.608240 837.212185 10.343769
2453035.591574 837.065739 3.428268
2453035.608240 837.092560 21.402542
2453042.591575 836.858031 2.863143
2453042.608240 811.574270 143.505341
2453049.591575 836.887852 3.092964
2453049.608240 836.896712 3.759620
2453056.591574 836.003245 26.375893
2453056.608240 824.582211 100.592850
2453063.591247 836.775647 5.909570
2453063.607959 836.758627 17.809426
2453070.591250 836.344195 4.342445
2453070.607945 836.364158 3.680197
